"year","quarter","bf_mod_jp3_value","bmi_value","fat_mass_value","ffm_value","ffmi_std_value","hip_value","waist_value","bf_mod_jp3_deriv","bmi_deriv","fat_mass_deriv","ffm_deriv","ffmi_std_deriv","hip_deriv","waist_deriv","bf_mod_jp3_change","bmi_change","fat_mass_change","ffm_change","ffmi_std_change","hip_change","waist_change"
2015,"Q3",0.236744391767828,26.6216200526653,17.7949228718604,57.338590267411,21.0475436038162,96.8728301522479,94.1413876869057,-0.000262198946492445,-0.0126002328366184,-0.0294853428692328,-0.0054434457088135,-0.0019286584852658,0.0339951761939261,-0.0365588526271097,-0.0031056737060729,-0.201626901915262,-0.388508954904452,-0.0814569171006951,-0.0288608691542152,1.3728301522479,-0.596735607281047
2015,"Q4",0.224791637421506,26.1599108190556,16.6244293466461,57.3205488492043,21.0411513779777,96.6446309268737,92.3412006616561,-0.000114407056922797,-0.00374612654075968,-0.00935952614951674,2.42272785264674e-05,8.58392804836683e-06,-0.00737464759258444,-0.0158846985951016,-0.0119527543463213,-0.461709233609703,-1.17049352521427,-0.0180414182067707,-0.0063922258385567,-0.228199225374226,-1.80018702524961
2016,"Q1",0.213769836419686,25.8271420529343,15.7470584846477,57.3233171983635,21.0421322273113,95.8316812500155,90.8419938608137,-0.000136550616492911,-0.00402140929794292,-0.0114591307603025,3.66454509546088e-05,1.29837907287822e-05,-0.00953055911669054,-0.0189244659550667,-0.0110218010018199,-0.332768766121326,-0.877370861998408,0.00276834915920432,0.000980849333643619,-0.812949676858182,-1.49920680084243
2016,"Q2",0.198352907490676,25.3454277913285,14.2594566745013,57.3272237594352,21.0435163546752,95.085056852645,88.5586296921174,-0.000211003275102831,-0.00701965391404258,-0.022771195339585,4.92429249518977e-05,1.74471814613497e-05,-0.00591694914231766,-0.033118926460034,-0.0154169289290108,-0.481714261605802,-1.48760181014645,0.00390656107175857,0.00138412736388815,-0.74662439737051,-2.28336416869631
2016,"Q3",0.198456541483889,25.6167190268245,14.3511732703563,57.9494545109533,21.2639779304681,95,89.164041640178,0.00021218957722588,0.0953874543566133,0.0686271528634599,0.200594398312639,0.0710722783137285,0,0.258338366179274,0.000103633993213781,0.271291235496008,0.0917165958550346,0.622230751518025,0.220461575792932,-0.085056852644982,0.605411948060606
2016,"Q4",0.203498885609441,25.2894073078861,14.5296216600333,56.8472015257444,20.8734404498811,95,88.6004509866667,0.000399419415408386,0.0240151260213075,0.0420596051363695,0.025720686546169,0.00911305504045146,0,0.0659938895238099,0.00504234412555107,-0.327311718938407,0.178448389677021,-1.10225298520883,-0.390537480587025,0,-0.563590653511341
2017,"Q1",0.221995734006071,28.0666561555177,17.5862217263137,61.6291086070196,22.5677102490857,95,92.3364793333333,0.000166760857632869,-0.015563114134542,0.00301456248427634,-0.0469398958176086,-0.0166311989149719,0,0.0138773333333333,0.0184968483966302,2.7772488476316,3.05660006628034,4.78190708127521,1.69426979920462,0,3.73602834666667
2017,"Q2",0.229624311515166,28.2855672440437,18.3324088473449,61.5030713772644,22.5230542011283,95,95.4147946777344,-0.00014968510284398,-0.00991709445380806,-0.0180092017353477,-0.0086468229040797,-0.00306364190195652,0,0.0422760667067266,0.00762857750909515,0.218911088525953,0.746187121031248,-0.126037229755212,-0.0446560479574529,0,3.07831534440103
2017,"Q3",0.23410619322823,27.9606744786907,18.5063194382941,60.5887354669359,22.1990973167998,95,95.8266371779907,0.00011418054866047,-0.00210283295442082,0.00924477494498355,-0.00766950036364022,-0.00271736832612035,-7.105427357601e-15,-0.00558876184142321,0.00448188171306427,-0.324892765352949,0.173910590949195,-0.914335910328546,-0.32395688432846,0,0.411842500256327
2017,"Q4",0.245050756564305,27.7543093401667,19.4038255504603,59.8889880778983,21.9511709459673,95,95.1032968112145,0.000102566009833507,-0.00250081253350487,0.00789476546282764,-0.00826861361987952,-0.00292963917937961,0,-0.00923225237303171,0.0109445633360744,-0.206365138524056,0.897506112166202,-0.699747389037597,-0.247926370832527,0,-0.723340366776185
2018,"Q1",0.249150634981426,27.4860974859895,19.5376316640513,58.9600278990158,21.6220325605923,95,94.3091443336706,-3.17257415953509e-05,-0.00357184803073096,-0.00719079607959472,-0.0130699361807807,-0.00463078804590999,0,-0.00755066242081881,0.00409987841712156,-0.268211854177181,0.133806113591,-0.928960178882448,-0.329138385375018,0,-0.794152477543946
2018,"Q2",0.218543372814369,25.8665485820957,15.9545865515424,57.0511601665646,20.9457047075413,95,91.0101562321969,-0.000284318482313028,0.00293218917160409,-0.0192592283424897,0.0275350390604245,0.00975589535870647,0,0.0127035386249545,-0.0306072621670569,-1.61954890389378,-3.58304511250891,-1.90886773245128,-0.676327853050953,-1.4210854715202e-14,-3.29898810147364
2018,"Q3",0.209532720304117,26.2856214225352,15.5662354426135,58.3924796951609,21.4209454702242,95.0279060167261,90.7239771876688,4.78964027104956e-06,0.0038926201671412,0.00327489739850773,0.00142947282843053,0.000506474216424024,0.000797655316127077,0.00650892823429672,-0.00901065251025207,0.41907284043954,-0.388351108928903,1.34131952859633,0.475240762682898,0.0279060167261065,-0.286179044528168
2018,"Q4",0.210603213075146,26.6341444042414,15.9107178717558,58.5197414577394,21.4660353804349,95.1015219698965,91.3476653355148,1.8251333179703e-05,0.0036856755129282,0.00419654053636087,0.00133797482770248,0.000474055707094578,0.000803867794530788,0.00703664581403984,0.00107049277102875,0.348522981706207,0.344482429142271,0.127261762578499,0.0450899102106384,0.073615953170389,0.623688147846067
2019,"Q1",0.212788136973082,26.9571179517632,16.3252028652536,58.6363249055649,21.5073418741372,95.1744001453715,92.0013884588152,3.00818378223544e-05,0.00349315006869944,0.00499767084704317,0.00125361789456946,0.000444167337930068,0.000816772942897614,0.00747822384746399,0.00218492389793648,0.322973547521787,0.414484993497764,0.116583447825562,0.0413064937023577,0.0728781754749832,0.653723123300381
2019,"Q2",0.216018876983097,27.2665151703953,16.8130208541999,58.7467194509928,21.5464555877951,95.2495802141787,92.6993782872476,4.0697813400048e-05,0.00330846097942405,0.00570666729269043,0.00117350426492635,0.000415782406790299,0.000836687137457659,0.00784962605943917,0.0032307400100143,0.309397218632022,0.487817988946315,0.110394545427873,0.0391137136578372,0.0751800688072422,0.697989828432412
2019,"Q3",0.22020409791553,27.5626949464467,17.3670521430771,58.8511588784624,21.5834593531967,95.3277502591548,93.4358775502514,5.00546418203823e-05,0.00313193892554509,0.00632018063641482,0.00109780567145634,0.000388961760009465,0.000863837968978487,0.00814836353580262,0.00418522093243326,0.296179776051485,0.554031288877198,0.104439427469551,0.0370037654016251,0.0781700449760763,0.736499263003751
2019,"Q4",0.225186514145,27.8431062995655,17.9727500834275,58.9488789550814,21.6180823962165,95.4087427634538,94.1963110501001,5.80281459443277e-05,0.00296566917653784,0.00682985536819558,0.00102743142035067,0.000364027572402392,0.000898044948812071,0.00836993555607535,0.0049824162294701,0.280411353118755,0.605697940350414,0.0977200766190265,0.0346230430197778,0.0809925042990187,0.760433499848688
2020,"Q1",0.230774273567626,28.1058819700062,18.6133277549255,59.0394067997727,21.6501571711213,95.4922678280736,94.9650657978431,6.45541297311092e-05,0.00281129246078393,0.00723183843201447,0.000963059953729584,0.000341220221701022,0.00093882163290715,0.00851318730271799,0.00558775942262624,0.262775670440689,0.64057767149799,0.0905278446913371,0.0320747749048067,0.0835250646197494,0.768754747743046
2020,"Q2",0.236894317111178,28.3550657534317,19.2858633801128,59.1243138607327,21.6802404551915,95.5798176841736,95.7434213381612,6.97266980525663e-05,0.00266694638499843,0.00753222797675335,0.000903897711964419,0.00032025854306994,0.000986501904428394,0.00858094198628834,0.006120043543552,0.249183783425529,0.672535625187319,0.0849070609599423,0.0300832840702725,0.0875498561000825,0.778355540318103
2020,"Q3",0.243497047085401,28.5941023585879,19.9888437859385,59.2049238399841,21.7088012471599,95.6730619628522,96.5330803879715,7.35803015545627e-05,0.00253121067441953,0.00773264423384035,0.000849380741406947,0.000300942723002962,0.00104172393465518,0.00857269514823145,0.00660272997422273,0.239036605156151,0.702980405825681,0.0806099792514416,0.0285607919683315,0.0932442786785685,0.789659049810268
2020,"Q4",0.250390675664173,28.8211228843953,20.705485911267,59.2807631776932,21.735671760804,95.7717112511342,97.3184311176993,7.60505807601286e-05,0.00240572726871591,0.00782922187898905,0.000800188113213807,0.00028351336211152,0.00110400211320894,0.00848728285406253,0.00689362857877157,0.227020525807418,0.716642125328544,0.0758393377090982,0.0268705136440985,0.0986492882819903,0.785350729727838
2021,"Q1",0.257293670697641,29.0324871557695,21.4105914077161,59.3508081772893,21.76048929184,95.8740696249154,98.0757205312402,7.71286154759299e-05,0.00229289217629436,0.00782322290333326,0.000757216870621136,0.000268288290326879,0.00117175414214188,0.00832905992390209,0.00690299503346864,0.211364271374233,0.705105496449058,0.0700449995960497,0.0248175310360104,0.1023583737812,0.757289413540889
2021,"Q2",0.264310994121551,29.2363271051,22.1184022025614,59.4179342012226,21.7842726053084,95.9840762440649,98.8235422660747,7.68726492386407e-05,0.00218877888717728,0.0077161219594597,0.000718948772512107,0.0002547295820996,0.00124712462704935,0.00809399671712185,0.00701732342390943,0.203839949330533,0.707810794845283,0.0671260239333122,0.0237833134684351,0.110006619149488,0.747821734834503
2021,"Q3",0.271318694920797,29.4332433460966,22.8193503081166,59.4825005705271,21.8071490116663,96.1025855602902,99.5543196553858,7.52380639559014e-05,0.00209371808181302,0.0075045698104752,0.000685555551580563,0.000242898083751442,0.00133034115871311,0.00777960431958036,0.00700770079924634,0.196916240996526,0.700948105555273,0.0645663693045364,0.0228764063579021,0.118509316225328,0.730777389311129
